Name,Date,Open,High,Low,Close,Adj Close,Volume
Lois,10-03-2021,15202.15039,15218.4502,15100.84961,15174.79981,15174.79981,404600
Brenda,12-03-2021,15321.15039,15336.29981,14953.59961,15030.9502,15030.9502,493200
Joe,15-03-2021,15048.40039,15048.40039,14745.84961,14929.5,14929.5,467500
Diane,16-03-2021,14471.15039,14788.25,14350.09961,14744,14744,919200
Benjamin,17-03-2021,14736.29981,14763.90039,14597.84961,14736.40039,14736.40039,459000
Patrick,18-03-2021,14855.5,14875.2002,14478.59961,14557.84961,14557.84961,542200
Nancy,19-03-2021,14471.15039,14788.25,14350.09961,14744,14744,919200
Carol,22-03-2021,14736.29981,14763.90039,14597.84961,14736.40039,14736.40039,459000
Frances,23-03-2021,14768.54981,14878.59961,14707,14814.75,14814.75,474200
Diana,24-03-2021,14712.4502,14752.34961,14535,14549.40039,14549.40039,456400
Ralph,25-03-2021,14570.90039,14575.59961,14264.40039,14324.90039,14324.90039,606800
Jack,26-03-2021,14506.29981,14572.90039,14414.25,14507.29981,14507.29981,481000
Melissa,30-03-2021,14628.5,14876.29981,14617.59961,14845.09961,14845.09961,594500
Wayne,31-03-2021,14811.84961,14813.75,14670.25,14690.7002,14690.7002,463900
Cheryl,01-04-2021,14798.40039,14883.2002,14692.4502,14867.34961,14867.34961,445000
Paula,05-04-2021,14837.7002,14849.84961,14459.5,14637.79981,14637.79981,509700
Joshua,06-04-2021,14737,14779.09961,14573.90039,14683.5,14683.5,475300
Theresa,07-04-2021,14599.59961,14697.7002,14559,14617.84961,14617.84961,577200
Julia,08-04-2021,14875.65039,14984.15039,14821.09961,14873.79981,14873.79981,514800
Thomas,09-04-2021,14882.65039,14918.4502,14785.65039,14834.84961,14834.84961,504100
Carol,12-04-2021,14644.65039,14652.5,14248.7002,14310.79981,14310.79981,650200
Matthew,13-04-2021,14364.90039,14528.90039,14274.90039,14504.79981,14504.79981,605100
Joan,15-04-2021,14522.40039,14597.54981,14353.2002,14581.4502,14581.4502,568000
Ruby,16-04-2021,14599.59961,14697.7002,14559,14617.84961,14617.84961,577200
Carolyn,19-04-2021,14306.59961,14382.29981,14191.40039,14359.4502,14359.4502,512300
Anne,20-04-2021,14526.7002,14526.9502,14207.29981,14296.40039,14296.40039,467400
Daniel,22-04-2021,14219.15039,14424.75,14151.40039,14406.15039,14406.15039,524600
Roger,23-04-2021,14326.34961,14461.15039,14273.29981,14341.34961,14341.34961,498100
Maria,26-04-2021,14449.4502,14557.5,14421.29981,14485,14485,452700
Brenda,27-04-2021,14493.79981,14667.54981,14484.84961,14653.04981,14653.04981,451800
Lillian,,14710.5,14890.25,14694.9502,14864.54981,14864.54981,457000
Amy,29-04-2021,14979,15044.34961,14814.4502,14894.90039,14894.90039,517500
Gregory,30-04-2021,14747.34961,14855.4502,14601.7002,14631.09961,14631.09961,613900
Roy,03-05-2021,14481.04981,14673.84961,14416.25,14634.15039,14634.15039,448900
Richard,04-05-2021,14687.25,14723.40039,14461.5,14496.5,14496.5,503400
Mary,05-05-2021,14604.15039,14637.90039,14506.59961,14617.84961,14617.84961,455900
Aaron,06-05-2021,14668.34961,14743.90039,14611.5,14724.79981,14724.79981,467800
Donna,07-05-2021,14816.84961,14863.04981,14765.5,14823.15039,14823.15039,488000
Carl,10-05-2021,14928.25,14966.90039,14892.5,14942.34961,14942.34961,522000
Joyce,11-05-2021,14789.7002,14900,14771.40039,14850.75,14850.75,647400
Mary,12-05-2021,14823.54981,14824.04981,14649.7002,14696.5,14696.5,643800
Amanda,14-05-2021,14749.40039,14749.65039,14591.90039,14677.79981,14677.79981,620700
Jack,17-05-2021,14756.25,14938,14725.34961,14923.15039,14923.15039,546400
Alan,18-05-2021,15067.2002,15137.25,15043.7002,15108.09961,15108.09961,583900
Elizabeth,19-05-2021,15058.59961,15133.40039,15008.84961,15030.15039,15030.15039,569100
Nancy,20-05-2021,15042.59961,15069.79981,14884.90039,14906.04981,14906.04981,480300
Ernest,21-05-2021,14987.79981,15190,14985.84961,15175.29981,15175.29981,572900
Judy,24-05-2021,15211.34961,15256.25,15145.4502,15197.7002,15197.7002,579800
Nancy,25-05-2021,15291.75,15293.84961,15163.40039,15208.4502,15208.4502,441500
Pamela,26-05-2021,15257.04981,15319.90039,15194.9502,15301.4502,15301.4502,384000
Larry,27-05-2021,15257.04981,15319.90039,15194.9502,15301.4502,15301.4502,384000
Ann,28-05-2021,15421.2002,15469.65039,15394.75,15435.65039,15435.65039,468100
Judy,31-05-2021,15437.75,15606.34961,15374,15582.79981,15582.79981,436000
Peter,01-06-2021,15629.65039,15660.75,15528.29981,15574.84961,15574.84961,409600
Clarence,02-06-2021,15520.34961,15597.4502,15459.84961,15576.2002,15576.2002,428600
Sharon,03-06-2021,15655.54981,15705.09961,15611,15690.34961,15690.34961,410200
Ann,04-06-2021,15712.5,15733.59961,15622.34961,15670.25,15670.25,414200
Anne,07-06-2021,15725.09961,15773.4502,15678.09961,15751.65039,15751.65039,394000
Nancy,08-06-2021,15773.90039,15778.79981,15680,15740.09961,15740.09961,378200
Antonio,,15766.29981,15800.4502,15566.90039,15635.34961,15635.34961,457900
Frances,10-06-2021,15692.09961,15751.25,15648.5,15737.75,15737.75,298300
Debra,11-06-2021,15796.4502,15835.54981,15749.79981,15799.34961,15799.34961,363000
Henry,14-06-2021,15791.40039,15823.04981,15606.5,15811.84961,15811.84961,392900
Melissa,15-06-2021,15866.9502,15901.59961,15842.40039,15869.25,15869.25,323300
Todd,16-06-2021,15847.5,15880.84961,15742.59961,15767.54981,15767.54981,340200
Christopher,17-06-2021,15648.29981,15769.34961,15616.75,15691.40039,15691.40039,357600
Andrea,18-06-2021,15756.5,15761.5,15450.90039,15683.34961,15683.34961,640800
Jeremy,21-06-2021,15525.84961,15765.15039,15505.65039,15746.5,15746.5,351500
Steven,22-06-2021,15840.5,15895.75,15752.09961,15772.75,15772.75,322200
Cynthia,23-06-2021,15862.79981,15862.9502,15673.9502,15686.9502,15686.9502,287500
Jason,24-06-2021,15737.29981,15821.40039,15702.7002,15790.4502,15790.4502,316700
Cynthia,25-06-2021,15839.34961,15870.79981,15772.29981,15860.34961,15860.34961,314600
Margaret,28-06-2021,15915.34961,15915.65039,15792.15039,15814.7002,15814.7002,255100
Douglas,29-06-2021,15807.5,15835.90039,15724.04981,15748.4502,15748.4502,360300
Paul,30-06-2021,15776.90039,15839.09961,15708.75,15721.5,15721.5,262400
Linda,01-07-2021,15755.04981,15755.54981,15667.04981,15680,15680,224900
Cheryl,02-07-2021,15705.84961,15738.34961,15635.9502,15722.2002,15722.2002,254800
Martha,05-07-2021,15793.40039,15845.9502,15762.04981,15834.34961,15834.34961,207000
William,06-07-2021,15813.75,15914.2002,15801,15818.25,15818.25,391400
Carolyn,07-07-2021,15819.59961,15893.54981,15779.7002,15879.65039,15879.65039,329300
Ruby,08-07-2021,15855.40039,15885.75,15682.90039,15727.90039,15727.90039,307900
Paul,09-07-2021,15688.25,15730.84961,15632.75,15689.79981,15689.79981,243200
Ernest,12-07-2021,15766.79981,15789.2002,15644.75,15692.59961,15692.59961,216300
Dorothy,,15794,15820.79981,15744.59961,15812.34961,15812.34961,246700
Ryan,14-07-2021,15855.40039,15885.75,15682.90039,15727.90039,15727.90039,307900
